Price,AlsoPrice
10276.9969,10276.9969
10268.976,10268.976
10264.614,10264.614
10277.891,10277.891
10282.5128,10282.5128
10273.7215,10273.7215
10273.7215,10273.7215
10278.1906,10278.1906
10276.2641,10276.2641
10280.3003,10280.3003
10276.9969,10276.9969
10268.976,10268.97610
10276.2641,10276.2641
10280.3003,10280.3003
10276.9969,10276.9969
10268.976,10268.976
10264.614,10264.614
10277.891,10277.891
10282.5128,10282.5128
10264.614,10264.614
10277.891,10277.891
10282.5128,10282.5128
10273.7215,10273.7215
10278.1906,10278.1906
10276.2641,10276.2641
10280.3003,10280.3003
10276.9969,10276.9969
10268.976,10268.976
10264.614,10264.614
10277.891,10277.891
10282.5128,10282.5128
10273.7215,10273.7215
10278.1906,10278.1906
10276.2641,10276.2641
10280.3003,10280.3003
10276.9969,10276.9969
10268.976,10268.976
10264.614,10264.614
10277.891,10277.891
10282.5128,10282.5128
10273.7215,10273.7215
10278.1906,10278.1906
10276.2641,10276.2641
10280.3003,10280.3003
10276.9969,10276.9969
10268.976,10268.976
10264.614,10264.614
10277.891,10277.891
10282.5128,10282.5128
10273.7215,10273.7215
10278.1906,10278.1906
10276.2641,10276.2641
10280.3003,10280.3003
10276.9969,10276.9969
10268.976,10268.976
10264.614,10264.614
10277.891,10277.891
10282.5128,10282.5128
10273.7215,10273.7215
10278.1906,10278.1906
10276.2641,10276.2641
10280.3003,10280.3003
10276.9969,10276.9969
10268.976,10268.976
10264.614,10264.614
10277.891,10277.891
10282.5128,10282.5128
10273.7215,10273.7215
10278.1906,10278.1906
10282.5128,10282.5128
10273.7215,10273.7215
10278.1906,10278.1906
10276.2641,10276.2641
10280.3003,10280.3003
10276.9969,10276.9969
10276.2641,10276.2641
10280.3003,10280.3003
10276.9969,10276.9969
10268.976,10268.976
10264.614,10264.614
10277.891,10277.891
10268.976,10268.976
10268.976,10268.976
10264.614,10264.614
10277.891,10277.891
10282.5128,10282.5128
10273.7215,10273.7215
10278.1906,10278.1906
10276.2641,10276.2641
10280.3003,10280.3003
